Course Name,Award,A Levels,UCAS Code,Duration,Start Month,Accreditation,Home Students Fees,Overseas Students Fees
Medical Microbiology,BSc,AAB,C521,3 years,September start,Accredited,"£9,250","£26,950"
Medical Microbiology with an Industrial Placement Year,BSc,AAB,C526,4 years,September start,Accredited,"£9,250","£26,950"
Medicine,MBChB,AAA,A100,5 years,September start,Not found,"£9,250","£39,950"
Microbiology,BSc,AAB,C500,3 years,September start,Accredited,"£9,250","£26,950"
Microbiology,MBiolSci,AAA,C509,4 years,September start,Accredited,"£9,250","£26,950"
Microbiology with an Industrial Placement Year,BSc,AAB,C506,4 years,September start,Accredited,"£9,250","£26,950"
Modern Languages and Cultures,BA,ABB,T900,4 years,September start,Not found,"£9,250","£21,000"
Molecular Biology,BSc,AAB,C440,3 years,September start,Accredited,"£9,250","£26,950"
Molecular Biology,MBiolSci,AAA,C449,4 years,September start,Accredited,"£9,250","£26,950"
Molecular Biology with an Industrial Placement Year,BSc,AAB,C446,4 years,September start,Accredited,"£9,250","£26,950"
Music,BMus,AAB; ABB,W302,3 years,September start,Accredited,"£9,250","£23,650"
Music and Korean Studies,BA,ABB; BBB,WTH4,4 years,September start,Accredited,"£9,250","£23,650"
Music and Modern Languages & Cultures,BA,ABB,RW50,4 years,September start,Accredited,"£9,250","£23,650"
Music and Philosophy,BA,AAB; ABB,VW53,3 years,September start,Accredited,"£9,250","£23,650"
Nursing (Adult),BMedSci,BBB,B740,3 years,September start,Accredited,"£9,250",Not found
Orthoptics,BMedSci,BBB,B520,3 years,September start,Not found,"£9,250","£26,950"
Philosophy,BA,AAB,V500,3 years,September start,Not found,"£9,250","£21,000"
Philosophy and Modern Languages & Cultures,BA,ABB,RV60,4 years,September start,Not found,"£9,250","£21,000"
"Philosophy, Religion and Ethics",BA,ABB,VV56,3 years,September start,Not found,"£9,250","£21,000"
Physics,BSc,AAB,F300,3 years,September start,Accredited,"£9,250","£26,950"
Physics,MPhys,AAA,F301,4 years,September start,Accredited,"£9,250","£26,950"
Physics and Astrophysics,MPhys,AAA,F3F5,4 years,September start,Accredited,"£9,250","£26,950"
Physics and Astrophysics,BSc,AAB,FF35,3 years,September start,Accredited,"£9,250","£26,950"
Physics and Astrophysics with an Industrial Placement Year,MPhys,AAA,F3F6,5 years,September start,Accredited,"£9,250","£26,950"
Physics and Astrophysics with an Industrial Placement Year,BSc,AAB,FF36,4 years,September start,Accredited,"£9,250","£26,950"
Physics with a Foundation Year,BSc | MPhys,BBB,F309,5 years,September start,Not found,"£9,250","£26,950"
Physics with an Industrial Placement Year,BSc,AAB,F310,4 years,September start,Accredited,"£9,250","£26,950"
Physics with an Industrial Placement Year,MPhys,AAA,F311,5 years,September start,Accredited,"£9,250","£26,950"
Physics with Medical Physics,BSc,AAB,F350,3 years,September start,Accredited,"£9,250","£26,950"
